EMPRESA;ID_INTERNO;ID_CLIENTE;NIT_CEDULA;NOMBRE_FACTURACION;CODIGO_SIC;TIPO_CLIENTE;GRUPO_CLIENTE;DIRECCION_CORRESPONDENCIA;CIUDAD_CORRESPONDENCIA;DIRECCION_FRONTERA;MUNICIPIO;DEPARTAMENTO;NOMBRE_SUCURSAL;ESTRATO;CLIENTES_INTERNO;FACTURABLE;ID_INTERNO_PADRE;NOMBRE_PADRE;MERCADO;ESTADO;FECHA_ESTADO;ESTADO_OPERATIVO;FECHA_INSCRIPCION;ASESOR;NIVEL_TENSION;OPERADOR_RED;NUMERO_CIRCUITO;GRUPO_CIRCUITO;TIPO_RED;NIVEL_CONEXION;DUEÑO_RED;CODIGO_CIIU;ACTIVIDAD_ECONOMICA;CODIGO_NIU;DEMANDA_MINIMA;DEMANDA_PROMEDIO;SUB_MERCADO;CONTRIBUCION;MAXIMA_TRANSFERENCIA;SERIE_MEDIDOR;SIGLA_MEDIDOR;MARCA_MEDIDOR;TIPO_COMUNICACION;CONDICION_COMUNICACION;TIPO_CONMUTACION;CANAL_COMUNICACION;TELEFONO_IP;SERIE_TRAFO;MULTIPLO;APLICA_MULTIPLO;DIGITOS;DECIMALES;KWH_FACTURA_PROMEDIO;KWH_ULTIMA_FACTURA;PESOS_ULTIMA_FACTURA;CONSECUTIVO OFERTA;CONSUMO PROMEDIO;ORDEN RUTA;ORDEN REPARTO;ORDEN IMPRESION
EXEC;1032;1032;801200365;PRUEBA EMPSII;Frt38730R;FRONTERA;NO REGULADO;;; ADL    ;CALI;VALLE;ENEL COLOMBIA;2;N;S;;N/A;NO REGULADO;EN REGISTRO;28/09/2022;;;;3;CODENSA-EEC;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;123456;0;;COMERCIAL;SI;;SERIE003;;ABB;0;;;;;;1;S;1;2;;;;;;;;
EXEC;1033;1033;805987001;PRUEBA EMPSII;Frt38731R;FRONTERA;NO REGULADO; CL 2 C    1   ;; ADL    ;CALI;VALLE;ENEL COLOMBIA;2;N;S;1037;N/A;REGULADO;RETIRADO;01/07/2022;;;GERMÁN	BOHÓRQUEZ;4;CODENSA-EEC;1;2;SUBTERRANEA;;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;3423453;;;INDUSTRIAL;SI;;75457867888;;LANDYS;0;;;;;;5;N;4;;;;;1;567;;;
EXEC;1037;1037;800101323;EMPSII PRUEBA 100% OR;FRT123456;FRONTERA;NO APLICA;CARRERA 45 N 24-54;;CALLE 45 N° 67-86;BUCARAMANGA;SANTANDER;ENEL COLOMBIA;;N;S;;N/A;REGULADO;RETIRADO;01/06/2022;VISITA TECNICA;;NATALIA	LEMA;1;CODENSA-EEC;1;2;AEREA;NIVEL 1-2;100% OPERADOR;130;PROPAGACIÓN DE PLANTAS ACTIVIDADES DE LOS VIVEROS EXCEPTO VIVEROS FORESTALES;123456;0;;COMERCIAL;SI;;SERIE100%OR;;ABB;0;;;;;;1;S;1;2;0;340060.897;4500;2;123;;;
EXEC;1038;1038;800101323;EMPSII PRUEBA 100%USUARIO;FRT123457;FRONTERA;NO APLICA;CALLE 4#5-107;;CALLE 8 #5-.108;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;RETIRADO;01/01/2022;VISITA TECNICA;;NATALIA	LEMA;1;CODENSA-EEC;1;0;AEREA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;1234;0;;COMERCIAL;SI;;SERIE100%USUARIO;;ABB;0;;;;;;1;S;1;2;0;330273.023;323960620;3;123;;;
EXEC;1041;1041;802024363;EMPSII PRUEBA NT2;FRT123458;FRONTERA;NO APLICA;CALLE 8#5-2;;CARRERA 6 #6-12;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;EN CONTACTO;01/01/2022;SUSPENSION POR SOLICITUD DEL USUARIO;;GERMÁN	BOHÓRQUEZ;2;CODENSA-EEC;0;0;AEREA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;1234;0;;COMERCIAL;SI;;SERIE NT2;;ABB;0;;;;;;1;S;1;2;0;1141056.933;965216070;4;123;;;
EXEC;1042;1042;802024363;EMPSII PRUEBA NT3;FRT123459;FRONTERA;NO APLICA;CARRERA5 #5-.1;;CALLE 8#5-13;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;EN CONTACTO;01/01/2022;VISITA TECNICA;;GERMÁN	BOHÓRQUEZ;3;CODENSA-EEC;0;0;AEREA;NIVEL 1-3;100% USUARIO;112;CULTIVO DE ARROZ ;1234;0;;COMERCIAL;SI;;SERIE NT3;;ABB;0;;;;;;1;S;1;2;0;1014202.74;774395500;5;123;;;
EXEC;1043;1043;802024363;PRUEBA CAPACITACION;FRT00001;FRONTERA;NO APLICA; ADL 1 A  DAFASDFASDF;; AV 1 A NORTE  CL 70 R;CALI;VALLE;ENEL COLOMBIA;0;N;N;1033;N/A;REGULADO;EN CONTACTO;01/06/2022;ACTIVO;;GERMÁN	BOHÓRQUEZ;2;CODENSA-EEC;0;0;SUBTERRANEA;;100% USUARIO;1313;ACABADO DE PRODUCTOS TEXTILES ;1043;;;INDUSTRIAL;NO;;;;;0;;;;;;;;;;;;;6;;;;
EXEC;1048;1048;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46952;FRONTERA;NO APLICA; CR 13 A    7     54  INTERIOR   3   ;; CR 13 A    7     54  INTERIOR   3   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;25/08/2022;ACTIVO;;ANDREA SAENZ;2;CODENSA-EEC;12;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;3601975;0;;INDUSTRIAL;NO;;10070590;;METCOM;0;;;;;;760;S;5;3;42332.456;44467.6;22779670;7;;;;
EXEC;1049;1049;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46958;FRONTERA;NO APLICA; CR 13 A    7     54  INTERIOR   1   ;; CR 13 A    7     54  INTERIOR   1   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/09/2022;;05/08/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% OPERADOR;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;2529712;0;;INDUSTRIAL;NO;;22021031;;MICROSTAR;0;;;;;;1;S;5;3;1541.93;1486.075;1012350;8;;;;
EXEC;1050;1050;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46959;FRONTERA;NO APLICA; CR 13 A    7     54   ;; CR 13 A    7     54  INTERIOR   2   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/09/2022;;05/08/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% OPERADOR;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;2497156;0;;INDUSTRIAL;NO;;21111032;;MICROSTAR;0;;;;;;1;S;5;3;820.692;803.13;556620;11;;;;
EXEC;1051;1051;860001576;MARCALI SA SEDE 1;Frt07392;FRONTERA;NO APLICA; CR 13    CL 34     76   ;; CR 13    CL 34     76   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;CONTACTO;25/08/2022;ANDREA SAENZ;1;CODENSA-EEC;9;4;SUBTERRANEA;NIVEL 1-3;100% USUARIO;4511;COMERCIO DE VEHÍCULOS AUTOMOTORES NUEVOS;425903;0;;COMERCIAL;SI;;2924242;;ELSTER;0;;;;;;120;S;5;3;8898.552;26876.125;20125200;9;;;;
EXEC;1052;1052;860001576;MARCALI SA SEDE 2;Frt07361;FRONTERA;NO APLICA; CR 13    CL 34     76   ;; CR 13    CL 34     76   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;;25/08/2022;ANDREA SAENZ;1;CODENSA-EEC;8;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;4511;COMERCIO DE VEHÍCULOS AUTOMOTORES NUEVOS;425775;0;;COMERCIAL;SI;;2924235;;ELSTER;0;;;;;;120;S;5;3;11577.18;38252.646;27844940;10;;;;
EXEC;1053;1053;901014446;COLD LINE SAS;Frt47240;FRONTERA;NO APLICA; CL 17     69     85   ;; CL 17     69     85   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/09/2022;OFERTA;25/08/2022;ANDREA SAENZ;2;CODENSA-EEC;12;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2819;FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA Y EQUIPO DE USO GENERAL NCP;2775028;0;;INDUSTRIAL;NO;;10070589;;METCOM;0;;;;;;570;S;5;3;33536.808;43309.17;26467060;12;35140;;;
